"","continent","mean_gdp","sd_gdp","rsd_gdp","min_gdp","med_gdp","max_gdp"
"1","Africa",2193.75457828574,2827.92986262485,128.908214739074,241.1658765,1192.138217,21951.21176
"2","Americas",7136.11035559,6396.76411174972,89.6393664475618,1201.637154,5465.509853,42951.65309
"3","Asia",7902.15042805404,14045.3731116838,177.741150836869,331,2646.786844,113523.1329
"4","Europe",14469.4755333022,9355.21349837552,64.6548209494119,973.5331948,12081.749115,49357.19017
"5","Oceania",18621.6092233333,6358.98332068975,34.148409218693,10039.59564,17983.303955,34435.36744
